Alert1: The distance between longitude prediced in measured is to high toa=421.699615, TS=2044 ,mmsi=227867000, lon_mes=-4.317458e+00, lon_pred=-4.322462e+00, inno_lon=0.005004, threshold=0.000812, value=4.110398e+02 
Alert1: The distance between longitude prediced in measured is to high toa=421.917908, TS=2052 ,mmsi=227802100, lon_mes=-4.467297e+00, lon_pred=-4.472284e+00, inno_lon=0.004988, threshold=0.000794, value=4.266980e+02 
Alert1: The distance between longitude prediced in measured is to high toa=422.380829, TS=2069 ,mmsi=227347000, lon_mes=-4.321905e+00, lon_pred=-4.326909e+00, inno_lon=0.005004, threshold=0.000810, value=4.128828e+02 
Alert1: The distance between longitude prediced in measured is to high toa=422.662018, TS=2080 ,mmsi=228431900, lon_mes=-4.491255e+00, lon_pred=-4.496245e+00, inno_lon=0.004990, threshold=0.000355, value=2.143256e+03 
Alert1: The distance between longitude prediced in measured is to high toa=422.900574, TS=2089 ,mmsi=227612860, lon_mes=-4.486207e+00, lon_pred=-4.491237e+00, inno_lon=0.005031, threshold=0.000835, value=3.927874e+02 
Alert1: The distance between longitude prediced in measured is to high toa=423.277802, TS=2103 ,mmsi=226263000, lon_mes=-5.043600e+00, lon_pred=-5.048618e+00, inno_lon=0.005018, threshold=0.000847, value=3.799741e+02 
Alert1: The distance between longitude prediced in measured is to high toa=423.420166, TS=2108 ,mmsi=227570230, lon_mes=-4.353450e+00, lon_pred=-4.358474e+00, inno_lon=0.005024, threshold=0.000841, value=3.859060e+02 
Alert1: The distance between longitude prediced in measured is to high toa=423.701355, TS=2119 ,mmsi=227008170, lon_mes=-4.481123e+00, lon_pred=-4.486122e+00, inno_lon=0.004998, threshold=0.000909, value=3.274654e+02 
Alert1: The distance between longitude prediced in measured is to high toa=423.861298, TS=2125 ,mmsi=227574020, lon_mes=-4.492693e+00, lon_pred=-4.497695e+00, inno_lon=0.005002, threshold=0.000879, value=3.506139e+02 
Alert1: The distance between longitude prediced in measured is to high toa=424.158630, TS=2136 ,mmsi=227806400, lon_mes=-4.467343e+00, lon_pred=-4.472339e+00, inno_lon=0.004996, threshold=0.000873, value=3.544407e+02 
Alert1: The distance between longitude prediced in measured is to high toa=425.358063, TS=2181 ,mmsi=227574030, lon_mes=-4.491658e+00, lon_pred=-4.496655e+00, inno_lon=0.004997, threshold=0.000772, value=4.529085e+02 
Alert1: The distance between longitude prediced in measured is to high toa=425.499756, TS=2186 ,mmsi=228431900, lon_mes=-4.491267e+00, lon_pred=-4.496257e+00, inno_lon=0.004990, threshold=0.000460, value=1.273386e+03 
